Producto,Precio
Mouse optico inalámbrico Logitech M190,Bs.139.
"Combo Computadora HP 348 14"" Core i3 10110U RAM 4GB FreeDOS + Mouse inalámbrico Microsoft 3500 gray + Mochila para laptop de 15.6"" color azul Klip Xtreme","Bs. 4,669.00"
"Combo Computadora portátil Dell Inspiron de 15.6"" Core i3 + Mouse optico inalámbrico Logitech M190 + Mochila para laptop de 15.6"" color gris Klip Xtreme","Bs. 4,969.00"
Teclado estandar con cable Xtech,Bs.69.
"Mochila para laptop 15.6"" color gris con negro Klip Xtreme",Bs.299.
"Mochila antirrobo para laptop color gris de 16"" Xtech",Bs.269.
"Combo Computadora portátil Dell de 15.6"""" Intel core i5 11va generación + Mouse optico con cable Logitech","Bs. 8,889.00"
"Combo Computadora HP 14"" 240 G7 Intel Core i3 1005G1 + Mouse optico con cable Logitech","Bs. 4,849.00"
"Combo Computadora HP 15,6"" Intel Core i3 DW1057LA + Mouse optico con cable Logitech","Bs. 5,789.00"
Micrófono de mano Xtech con receptor recargable,Bs.299.
"Computadora HP 15"" ADM Ryzen 7 3700U","Bs.7,629."
Router Wi FI LTE,Bs.399.
"Computadora HP 348 14"" Core i3 10110U RAM 4GB FreeDOS","Bs.4,699."
Tablet Agassi 2GB ram  y 32GB memoria,"Bs.1,879."
"Tablet Samsung Tab S7 FE  - Ram 4GB, Almacenaje 64 GB","Bs.5,099."
Cable HDMI Belkin 2mt high speed,Bs.89.
"Combo Computadora HP 14"" AMD Athlon 3050U DK1011LA + Mouse optico inalámbrico Logitech M190 + Mochila para laptop de 15.6"" color gris Klip Xtreme","Bs. 3,969.00"
Kaspersky internet security 1 Dispositivo 1 año,Bs.259.
Mouse Logitech M170 Color Rojo,Bs.99.
Teclado K480 bluetooth multidispositivo Logitech,Bs.549.
Audifonos HyperX Cloud Stinger PS4,Bs.409.
Audifonos Razer Kraken USB,Bs.579.
Mouse inalámbrico Microsoft Negro,Bs.289.
"Mochila para Notebook de 16"" Klip Xtreme",Bs.229.
Mouse Logitech M185,Bs.199.
Supresor de tensión de pared Forza,Bs.139.
Mouse inalámbrico Microsoft Bluetooth,Bs.189.
Kit Teclado y Mouse Microsoft Desktop 3050 Bluetooth,Bs.419.
Router Huawei de 2 antenas,Bs.219.
Audífonos JBL Quantum 200 Gaming,Bs.499.
Camara Web Microsoft,Bs.529.
"Monitor  Samsung 27"" Full HD de diseño super delgado","Bs.1,939."
Mouse optico M280 inalambrico negro,Bs.219.
"Mochila para laptop de 15.6"" color azul Klip Xtreme",Bs.199.
"Mochila para laptop de 15.6"" color gris Klip Xtreme",Bs.199.
"Mochila para laptop de 16"" color gris Klip Xtreme",Bs.219.
"Computadora portátil Dell Inspiron de 15.6"" Core i3","Bs.4,999."
Consola Nintendo Switch Oled Blanco 64GB,"Bs.4,249."
Mouse optico inalámbrico Logitech M190,Bs.139.
Teclado inalámbrico Microsoft,Bs.239.
Play Station 5 de 825 GB,"Bs.8,789."
Protector de Pantalla para Tablet A7 Transparente,Bs.99.
Audífonos JBL Quantum 300 Gaming,Bs.659.
"Mochila para laptop de 15.6"" color gris Klip Xtreme",Bs.219.
Mouse óptico Dell USB con cable MS116,Bs.99.
Impresora de tinta continua Canon G-3160,"Bs.1,459."
Mouse óptico inalámbrico vector Klip Xtreme,Bs.79.
"Combo Computadora HP 14"" 240 G7 Intel Core i5 Free DOS + Mouse optico con cable Logitech","Bs. 6,989.00"
"Combo Computadora portátil HP de 14"" Intel Core i3 + Mouse optico con cable Logitech","Bs. 5,269.00"
"Combo Computadora HP 15,6"" Intel Core i3 10110U + Mouse optico con cable Logitech","Bs. 5,789.00"
Supresor de sobretension universal,Bs.149.
"Combo Computadora portátil Lenovo Think Pad 14"" Intel Core i7 Windows 10 Pro + Mouse optico con cable Logitech","Bs. 8,989.00"
Combo Computadora portátil Lenovo AMD Ryzen 5-4500U Windows 10 Pro + Mouse optico con cable Logitech,"Bs. 7,409.00"
"Combo Computadora portátil Lenovo Think Pad 14"" Intel Core i5 Windows 10 Pro + Mouse optico con cable Logitech","Bs. 8,439.00"
Mouse optico inalámbrico Klip Xtreme KMW-340BK,Bs.79.
Mouse optico inalámbrico Klip Xtreme KMW-340RD,Bs.79.
Teclado multimedia con cable Klip Xtreme XTK-160S,Bs.59.
Wi Fi  band 6 Router,Bs.599.
"Tablet Fire HD 10 - Alexa 10"" HD 32GB - Blanco","Bs.1,269."
"Mochila para laptop de 15.6"" color negro con rojo LaCroix Klip Xtreme",Bs.189.
Cobertor tablet Samsung  TAB A8,Bs.139.
Router Huawei Ws7200 Ax3 Dual Band 5.8Ghz,Bs.699.
"Monitor 32"" Acer","Bs.3,199."
Teclado + Mouse inalámbrico Microsoft Spanish for Biz,Bs.449.
Mochila Para Laptop Xtech Color Negro,Bs.189.
Protector de Voltaje Forza,Bs.99.
"Combo Televisor LG 60"" UHD 4K Smart Tv Web Os + Barra de sonido LG de 2.0 canales con tecnología bluetooth","Bs. 5,699.00"
Teclado + Mouse inalámbrico Logitech MK295,Bs.299.
Teclado Razer Huntsman Elite Opto,"Bs.2,289."
Mouse Logitech M510 Bluetooth,Bs.299.
"Computadora portátil HP de 14"" Intel Core i3 4GB Memoria RAM, 1TB Disco Duro","Bs.4,929."
"Base para laptop 16"" Klip Xtreme",Bs.99.
"Base enfriadora para laptop 14"" Xtech",Bs.35.
Mouse optico con cable Logitech,Bs.79.
Mouse optico inalámbrico Logitech,Bs.119.
Teclado con touch inalámbrico Logitech,Bs.359.
"Mochila para laptop de 15.4"" color gris Klip Xtreme",Bs.159.
"Mochila para laptop de 15.6"" color azul Klip Xtreme",Bs.219.
Impresora de tinta continua Canon G-4110,"Bs.2,799."
"Monitor curvo 27"" Samsung 144Hz","Bs.3,459."
"Monitor 24"" Samsung Full HD","Bs.2,559."
Kit teclado y mouse inalámbrico Microsoft,Bs.599.
Kit teclado y mouse inalámbrico Microsoft,Bs.329.
Mouse optico  Xtech XTM-610 Letahal Haze,Bs.89.
Protector de Pantalla para Tablet S6 Lite Transparente,Bs.99.
"Mochila para laptop de 15.4"" color verde Klip Xtreme",Bs.179.
"Mochila para laptop de 15.6"" color azul Klip Xtreme",Bs.219.
"Combo Computadora Dell de 15.6"" Intel Core i5 11va Gen. 8GB Ram 256 SSD, Sistema Operativo Linux + Mouse óptico Dell USB con cable MS116 + DELL 460-BCQO Funda Essential 15 + Unidad Dell USB Slim DVD ± RW - DW316 Optical","Bs. 6,299.00"
Mouse óptico 3D con cable Xtech,Bs.39.
Auricular estéreo Xtech color negro,Bs.39.
"Combo Computadora portátil HP de 14"" AMD Ryzen 5 Free DOS no tiene Windows + Mouse optico con cable Logitech","Bs. 6,159.00"
"Combo Computadora portátil Dell de 15.6"" Core i3 10ma Generación + Mouse optico con cable Logitech","Bs. 4,879.00"
"Combo Computadora Lenovo 14"" ADM RYZEN 5 4500u Windows 10 Home + Mouse optico con cable Logitech","Bs. 7,689.00"
Consola Nintendo Switch de 32GB,"Bs.3,599."
Mando para PS5 Blanco Dualsense Wireless Controller,Bs.739.
Sistema WiFi Tenda Malla/Mesh ara Todo el Hogar AC1200,Bs.559.
"Tablet Ipad Apple 10,2"" Wi-fi 64gb Space Gray","Bs.4,319."
Mandos Nintendo Switch Joy de 32GB,Bs.999.
Consola Nintendo Switch Joy de 32GB,Bs.999.
"Tablet Fire HD 10 - Alexa 10"" HD 32GB - Bordeau","Bs.1,269."
Mando para PS5 Negro Dualsense Wireless Controller,Bs.739.
"Monitor curvo 24"" Samsung Full HD","Bs.2,399."
Amazon Kindle Paperwhite - 32GB - Black,"Bs.1,799."
Amazon Kindle Paperwhite - 8GB - Plum,"Bs.1,439."
"Computadora portátil 14"" Lenovo Ryzen 5 4500u FreeDos","Bs.6,299."
"Computadora HP 15"" Intel Core i5 DW1058LA","Bs.7,099."
Mando para PS5 Rojo Dualsense Wireless Controller,Bs.739.
Amazon Kindle Paperwhite - 32GB Plum,"Bs.1,799."
Amazon Kindle Paperwhite - 8GB - Black,"Bs.1,439."
"Tablet Ipad Apple 10,2"" Wi-fi 32gb silver","Bs.3,889."
Consola Xbox 1TB,"Bs.8,499."
Mochila para laptop de 15.6 HP Prelude,Bs.249.
"Tablet Fire HD 10 - Alexa 10"" HD 32GB - Negro","Bs.1,269."
Sistema WiFi Tenda Malla/Mesh AC1200,"Bs.1,099."
Cargador genérico laptop Type C Forza,Bs.319.
Protector de sobretensión Forza,Bs.169.
"Kit Teclado más Mouse Logitech, cableado MK200",Bs.219.
Kit Teclado y Mouse Microsoft Desktop 2000 Bluetooth,Bs.349.
"Tablet Huawei 8"" LTE","Bs.1,529."
Teclado + Mouse inalámbrico Klip Xtreme Excellence,Bs.229.
Mouse optico con cable Klip Xtreme KMO104Ebony,Bs.49.
Mouse optico Klip Xtreme KMW-800ErgoBall,Bs.359.
"Computadora portátil Dell 15.6"" AMD Ryzen 7 3700U","Bs.7,649."
"Computadora portátil HP de 14"""" AMD Ryzen 7 Pro 2700U","Bs.7,439."
"Computadora portátil Dell de 15.6"""" Intel core i5 11va generación","Bs.8,899."
Computadora portátil Lenovo AMD Ryzen 5-4500U Windows 10 Pro,"Bs.7,419."
Router Tenda AC7 1200MBPS  Doble Banda,Bs.379.
Disco duro externo portatil de 1TB Seagate,Bs.619.
Disco duro externo portatil de 4TB Seagate,"Bs.1,199."
Disco duro externo portatil de 4TB Western digital,"Bs.1,419."
Mouse inalámbrico Logitech,Bs.109.
Teclado numérico con cable Klip Xtreme,Bs.89.
Regleta de 6 entradas marca Forza,Bs.39.
"Mochila para laptop de 15.6"" color rojo Klip Xtreme",Bs.199.
Impresora de tinta continua Canon G-3110,"Bs.1,749."
"Notebook HP de 15.6"" 255 G7 AMD Athlon FreeDos","Bs.4,179."
Teclado con cable Klip Xtreme Excellence,Bs.69.
"Computadora HP 15,6"" Intel Core i3 DW1057LA","Bs.5,799."
"Computadora HP 14"" 240 G7 Intel Core i5 Free DOS","Bs.6,999."
"Computadora Huawei 14"" Intel Core i5 Ram 8GB 512 GB disco duro SSD","Bs.8,399."
Computadora pc Huawei Ryzen 5,"Bs.5,899."
Camara web Logitech C505 HD 720P,Bs.469.
Teclado inalámbrico Logitech K380 Off-White,Bs.339.
Teclado + Mouse inalámbrico Logitech Mk345,Bs.379.
Mouse optico Klip Xtreme KMW-500BK,Bs.139.
Controlador de juego para celulae Razer Kishi Universal,Bs.969.
DELL 460-BCQO Funda Essential 15,Bs.139.
"Computadora Lenovo 14"" ADM RYZEN 5 4500u Windows 10 Home","Bs.7,699."
Mouse optico inalámbrico Klip Xtreme KMW-340BL,Bs.79.
Mouse optico inalámbrico Klip Xtreme XTM-310,Bs.49.
"Monitor 27"" HP LED","Bs.2,299."
"Computadora portátil HP de 14"" Intel Core i3","Bs.5,279."
"Mochila para laptop de 16"" color negro Towner Klip Xtreme",Bs.249.
"Computadora HP 15,6"" ADM Ryzen 5 4500U","Bs.6,119."
Webcam C920e,Bs.659.
Teclado inalámbrico All in one Microsoft,Bs.379.
Supresor de tensión de pared Forza,Bs.49.
Supresor de tensión de pared Forza,Bs.99.
"Mochila para laptop de 15"" DELL",Bs.349.
Disco duro externo portatil de 2TB Western digital,Bs.799.
Teclado sencillo inalámbrico Logitech,Bs.269.
Router inalambrico de 300mpbs Tp-Link,Bs.209.
Tablet Huawei MatePad T11 128GB,"Bs.3,699."
Impresora Epson multifunción L4260,"Bs.2,459."
"Cobertor tablet Samsung  TAB A 10.1""",Bs.199.
"Computadora portátil HP de 14"" AMD Ryzen 5 Free DOS no tiene Windows","Bs.6,169."
Mouse optico Xtech KMW-750Flexor,Bs.189.
"Computadora portátil Dell de 15.6"" Core i3 10ma Generación","Bs.4,889."
"Computadora portátil Lenovo Think Pad 14"" Intel Core i7 Windows 10 Pro","Bs.8,999."
Teclado inalámbrico Logitech K230,Bs.219.
"Computadora HP 14"" 240 G7 Intel Core i3 1005G1","Bs.4,859."
"Computadora HP 15,6"" Intel Core i3 10110U","Bs.5,799."
"Mochila Para Laptop 15.6""  Xtech Winsor Color Azul con negro",Bs.159.
"Computadora HP 14"" Intel Celeron N4020 FreeDOS","Bs.3,139."
Mouse optico con cable Logitech B100,Bs.89.
Camara web 1080p Ultima Tech,Bs.259.
Teclado Razer Gaming Cynosa V2,Bs.519.
"Tablet Samsung Tab A7 "" Lite - Ram 3GB, Almacenaje 32GB","Bs.1,799."
Regleta Forza 220V,Bs.199.
Teclado Logitech K600,Bs.529.
"Monitor plano 24"" Samsung Full HD","Bs.1,499."
"Kit Teclado más Mouse Logitech, Bluetooth MK235",Bs.289.
"Computadora portátil Huawei de 13.8"" Intel Core i5 10ma Generación","Bs.10,999."
"Computadora portátil Huawei de 13"""" Intel Core i5 10ma Generación","Bs.6,999."
Disco duro externo portatil de 2TB Seagate,Bs.839.
Disco duro externo portatil de 1TB Western digital,Bs.569.
Mouse optico inalambrico M280 rojo,Bs.199.
Teclado + Mouse inalámbrico Logitech,Bs.319.
Adaptador de 4 entradas marca Forza,Bs.269.
"Monitor curvo 24"" Samsung Full HD","Bs.1,499."
Mouse gamer de 6 botones con luces led Xtech,Bs.89.
Impresora Epson multifuncion L3250,"Bs.2,459."
Teclado Razer Gaming en Español,Bs.329.
Teclado + Mouse inalámbrico Klip Xtreme Majestik Wireless duo,Bs.379.
Teclado + Mouse inalámbrico Klip Xtreme Majestik Compact Duo,Bs.389.
Mouse Logitech M185 Bluetooth,Bs.159.
Funda para Tablet A8 para niños Naranja,Bs.189.
"Tablet Samsung Tab S7 LTE Negro - Ram 6GB, Almacenaje 128GB","Bs.6,629."
"Computadora portátil Lenovo Think Pad 14"" Intel Core i5 Windows 10 Pro","Bs.8,449."
Mouse Logitech M190 negro con rojo,Bs.129.
Router Tenda AC5 1200MBPS,Bs.259.
"Computadora Dell de 15,6"""" Intel Core i3 NB Vostro 11va generación","Bs.5,199."
Mouse gamer tipo A negro Razer,Bs.399.
Unidad Dell USB Slim DVD ± RW - DW316 Optical,Bs.199.
"Combo Notebook HP de 15.6"" 255 G7 AMD Athlon FreeDos + Mouse optico con cable Logitech B100","Bs. 4,179.00"
